표지일련번호,표지종별,X좌표,Y좌표,표지판 근거리 이미지1,표지판 근거리 이미지2,표지판 근거리 이미지3,표지판 근거리 이미지4,표지판 근거리 이미지5,표지판 원거리 이미지1,표지판 원거리 이미지2,데이터기준일자
WR(서울특별시 동대문구)-[휘경로]-하-1,2방향표지,205589.57,454725.16,/2006-10-20/WRC0106휘경로D/21-1 휘경로a.jpg,,,,,/2006-10-20/WRC0106휘경로D/21-1 휘경로a..jpg,,2018-04-30
WR(서울특별시 동대문구)-[휘경로]-상-1,2방향표지,205589.57,454725.16,/2006-10-20/WRC0106휘경로U/21-1 휘경로b.jpg,,,,,/2006-10-20/WRC0106휘경로U/21-1 휘경로b..jpg,,2018-04-30
WR(서울특별시 영등포구)-[여의나루로]-하-5,2방향예고표지,193079.93,446462.37,/2006-10-20/WRC0119여의동로이면도로D/sa501118.jpg,,,,,/2006-10-20/WRC0119여의동로이면도로D/sa501117.jpg,,2018-04-30
WR(서울특별시 동대문구)-[사가정로]-상-1,3방향표지,204308.73,452009.02,/2006-10-20/WRC0106U/WR(C0106)-답십리뒷길-상-1(1).jpg,,,,,/2006-10-20/WRC0106U/WR(C0106)-답십리뒷길-상-1.jpg,,2018-04-30
WR(서울특별시 영등포구)-[여의나루로]-하-6,2방향표지,192915.42,446387.92,/2006-10-20/WRC0119여의동로이면도로D/sa501120.jpg,,,,,/2006-10-20/WRC0119여의동로이면도로D/sa501119.jpg,,2018-04-30
WR(서울특별시 동대문구)-[사가정로]-하-1,3방향표지,204308.73,452009.02,/2006-10-20/WRC0106D/WR(C0106)-답십리뒷길-하-1.jpg,,,,,/2006-10-20/WRC0106답십리뒷길D/22-1답십리뒷길a..jpg,,2018-04-30
WR(서울특별시 영등포구)-[국제금융로8길]-상-9,3방향표지,193552.62,446429.75,/2006-10-20/WRC0119여의동로이면도로U/sa501140.jpg,,,,,/2006-10-20/WRC0119여의동로이면도로U/sa501139.jpg,,2018-04-30
UR(서울특별시)-61[동부간선도로]-상-73,교량표지,206155.61,458016.16,/2006-10-16/URC010061U/동부간선-55-근거리.jpg,,,,,/2006-10-16/URC010061U/동부간선-55-원거리.jpg,,2018-04-30
UR(서울특별시)-70[강변북로]-상-88,2방향표지,207577.23,447308.18,/2009-01-21/URC010070강변북로U/s7304553.jpg,/2009-01-21/URC010070강변북로U/s7304554.jpg,,,,/2009-01-21/URC010070강변북로U/s7304552.jpg,,2018-04-30
WR(서울특별시 영등포구)-[문래북로]-하-13,3방향표지,190654.76,446461.01,/2006-10-10/WRC0119당산로D/sa500412.jpg,,,,,/2006-10-10/WRC0119당산로D/sa500411.jpg,,2018-04-30
UR(서울특별시)-70[강변북로]-상-87,3방향예고표지,207397.9,447269.95,/2010-10-29/URC010070강변북로U/70-상-87(1).jpg,,,,,/2009-01-21/URC010070강변북로U/s7304550.jpg,,2018-04-30
WR(서울특별시 영등포구)-[문래북로]-상-12,3방향표지,190654.76,446461.01,/2006-10-10/WRC0119당산로U/sa500414.jpg,,,,,/2006-10-10/WRC0119당산로U/sa500413.jpg,,2018-04-30
WR(서울특별시 영등포구)-[문래로]-하-14,3방향표지,190635.11,446329.41,/2006-10-10/WRC0119당산로D/sa500416.jpg,,,,,/2006-10-10/WRC0119당산로D/sa500415.jpg,,2018-04-30
UR(서울특별시)-70[강변북로]-상-34,1방향예고표지,195343.74,447849.45,/2009-01-12/URC010070U/s7304252.jpg,,,,,/2009-01-12/URC010070U/s7304251.jpg,,2018-04-30
