Column1,지점명,위도,경도
453,한성대입구역 사거리,37.588374,127.005907
454,성북우체국 부근,37.607281,127.029324
455,월곡역,37.601925,127.04153
456,종암동주민센터 부근,37.5990476,127.0353155
457,정릉시장 부근,37.6081136,127.0085765
458,고대 앞 사거리,37.5863945,127.0328247
459,보문역 사거리,37.585331,127.019391
460,종암동SK아파트 부근,37.6011427,127.0371572
461,숭덕초 사거리,37.6041975,127.0139345
462,정릉4동주민센터,37.6133352,127.0069932
463,서울종암경찰서 앞 사거리,37.6020592,127.0321577
464,성북구 보건소 부근,37.6026426,127.0395181
465,종암사거리,37.6032257,127.0322132
466,성신여대입구역 사거리,37.5936255,127.018069
467,종암사거리,37.6032257,127.0322132
468,서울종암경찰서 앞 사거리,37.6020592,127.0321577
469,장지교교차로,37.6001714,127.0782643
470,송파세무서 앞 오거리,37.5263379,127.1140817
471,송파1동우체국,37.5058964,127.1097053
472,KB국민은행 삼전남지점,37.5039611,127.0882939
473,가락시장앞사거리,37.4933411,127.1097998
474,잠실역 사거리,37.513238,127.0999314
475,복정역 사거리,37.469466,127.1240136
476,종합운동장사거리,37.512132,127.079202
477,문정역 2번출구 삼거리,37.48632,127.12261
478,광평교 동단 사거리,37.199327,127.0970177
479,석촌호수 사거리,37.506607,127.098973
480,롯데월드 사거리,37.5131273,127.1019609
481,올림픽훼미리타운,37.4896023,127.1187913
482,서울지방경찰청 제3기동단,37.4839085,127.1147919
483,가락119안전센터 앞 사거리,37.522516,127.037895
484,잠실레이크팰리스,37.5079136,127.0944454
485,송파사거리,37.501934,127.1100974
486,송파경찰서사거리,37.5016941,127.1272481
487,잠실대교 남단 삼거리,37.514063,127.099483
488,실론호텔 사거리,37.5149806,127.1083632
489,잠실2동우체국 앞 삼거리,37.512054,127.0827167
490,가락시장앞사거리,37.4933411,127.1097998
491,복정역 사거리,37.469466,127.1240136
492,송파세무서 앞 오거리,37.5263379,127.1140817
493,실론호텔 사거리,37.5149806,127.1083632
494,송파1동우체국,37.5058964,127.1097053
